"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PC",0.790453692203855,0.352644150018306,4.83132613235595,0.0729911706139248,0.941813143599309,0.999972696140104
"LRFN4",8.00276782211677,0.513962978798004,1.83597310862583,0.27994036316942,0.779523259397298,0.999972696140104
"RHOD",3.22725895040657,0.364859340518839,2.75824804048019,0.132279379941233,0.894763316467212,0.999972696140104
"KDM2A",233.812802803519,-0.00278482659967093,0.510911554029375,-0.00545070194186842,0.99565099061001,0.999972696140104
"AP001885.3",0.553249429226185,0.424536051323418,4.81277765671128,0.0882101941134587,0.929709615172029,0.999972696140104
"GRK2",346.447784846022,-0.368834425280654,0.471963685271773,-0.781488993307327,0.434514947811846,0.999972696140104
"ANKRD13D",158.840858145301,0.0688113058618136,0.5638668663166,0.122034668061481,0.902871562307936,0.999972696140104
"SSH3",22.1573463269855,0.0890751082885674,1.15026522194618,0.0774387563746887,0.938274510205268,0.999972696140104
"RAD9A",70.7711376001119,0.610141443277784,0.753126821700692,0.810144355103405,0.417857214260149,0.999972696140104
"POLD4",935.683120928655,0.0462817466512856,0.428595142775167,0.107984767049878,0.914007775679598,0.999972696140104
"CLCF1",7.99714696454181,-2.33746969682592,1.84451149070748,-1.26725678240658,0.205063488217675,0.999972696140104
"PPP1CA",873.742878944814,0.0775713698854258,0.426973471921197,0.181677258627774,0.85583601393024,0.999972696140104
"TBC1D10C",488.228035529346,-0.114406663459387,0.452850556286645,-0.252636685262169,0.800548978637844,0.999972696140104
"CARNS1",28.5389159930183,0.973189858253661,1.1036890062326,0.881760942401348,0.377906097094114,0.999972696140104
"PTPRCAP",2442.29428797218,0.292836724830258,0.400694589488266,0.730822757562673,0.464887421130858,0.999972696140104
"CORO1B",502.516851247772,0.190755154083014,0.486961574388308,0.391725269745624,0.695261216690197,0.999972696140104
"GPR152",1.07359921717907,-1.39270264074137,4.41616783562888,-0.315364517966298,0.75248490386978,0.999972696140104
"CABP4",2.05501958289995,2.25364798183131,3.66229081155924,0.615365654392643,0.538313268039923,0.999972696140104
"TMEM134",293.846878616799,0.273700067560132,0.494710599347092,0.553252887488877,0.580090256596781,0.999972696140104
"AIP",400.398146017058,0.0798367486515695,0.48099389821635,0.165982872023169,0.868170429338679,0.999972696140104
"PITPNM1",58.8960202155119,-0.112751650384004,0.776866774107851,-0.145136404518634,0.884603175931843,0.999972696140104
"CDK2AP2",436.96923197661,-0.0642907119957979,0.485997987088954,-0.132285963530196,0.894758109282609,0.999972696140104
"GSTP1",1362.13325234282,-0.498888282349781,0.418258478370001,-1.19277506171304,0.232957479381032,0.999972696140104
"NDUFV1",446.658059141351,0.28522000759809,0.473417233257827,0.602470690885807,0.546860867056519,0.999972696140104
"NUDT8",22.000766048256,-0.421001555330704,1.16163952596604,-0.362420136298816,0.717038094249534,0.999972696140104
"UNC93B1",408.849475237033,0.0319972383184175,0.474040536909788,0.0674989496193798,0.946184498202499,0.999972696140104
"ALDH3B1",11.1846541409047,-0.674388636906997,1.50718818434877,-0.447448197849552,0.654551482376515,0.999972696140104
"NDUFS8",357.535132541684,0.307222906415039,0.476590352483212,0.644626784437188,0.519169073189153,0.999972696140104
"TCIRG1",173.1094550607,-0.0459273244369929,0.547727846399675,-0.0838506289919025,0.933175193606538,0.999972696140104
"AP002807.1",4.26840813370572,-0.63611373135336,2.35096653418888,-0.27057540892339,0.786717611358167,0.999972696140104
"CHKA",45.6949308802465,0.717247350244965,0.910523399025531,0.787730827140285,0.430854169821691,0.999972696140104
"KMT5B",113.967976265694,-0.0114167964337612,0.617387179117233,-0.0184921177826943,0.98524626559005,0.999972696140104
"C11orf24",243.355112999127,0.167652068018675,0.528823123385884,0.317028625649448,0.751221881618223,0.999972696140104
"AP002813.1",1.89695255065623,2.12137595903487,3.78397469979613,0.560621073695118,0.575055882249819,0.999972696140104
"LRP5",69.8300529069643,-0.080218377959718,0.809571855406376,-0.0990874095041893,0.921068868649665,0.999972696140104
"PPP6R3",149.642970591278,-0.150759778476832,0.571214186948278,-0.263928631188711,0.791834913132618,0.999972696140104
